Date,^KS11,^N225,^BVSP,^DJI,^FTSE,^RUT,NQ=F,^GSPC,^BSESN,^FCHI,^GDAXI,^HSI,^MXX,^STOXX50E,^STI,^TWII,^AXJO,^GSPTSE
2024-05-01,,38274.05078125,,,,,,,,,,,,,,,,
2024-05-02,,38236.0703125,,,,,,,,,,,,,,,,
2024-05-06,,38236.0703125,128466.0,38852.26953125,,2060.669921875,18195.5,5180.740234375,73895.5390625,7996.64013671875,18175.2109375,18578.30078125,57282.94921875,4956.9599609375,3303.18994140625,20523.310546875,7682.39990234375,22259.5
2024-05-07,2734.360107421875,38835.1015625,129210.0,38884.26171875,8313.7001953125,2064.64990234375,18199.5,5187.7001953125,73511.8515625,8075.68017578125,18430.05078125,18479.369140625,57108.3203125,5016.10009765625,3300.0400390625,20653.529296875,7793.2998046875,22290.599609375
2024-05-08,2745.050048828125,38202.37109375,129481.0,39056.390625,8354.099609375,2055.139892578125,18186.5,5187.669921875,73466.390625,8131.41015625,18498.380859375,18313.859375,57081.0,5038.169921875,3264.530029296875,20700.509765625,7804.5,22259.19921875
2024-05-09,2712.139892578125,38073.98046875,128188.0,39387.76171875,8381.400390625,2073.6298828125,18214.5,5214.080078125,72404.171875,8187.64990234375,18686.599609375,18537.810546875,57846.078125,5038.169921875,3265.949951171875,20560.76953125,7721.60009765625,22375.80078125
2024-05-10,2727.6298828125,38229.109375,127600.0,39512.83984375,8433.7998046875,2059.780029296875,18255.0,5222.68017578125,72664.46875,8219.1396484375,18772.849609375,18963.6796875,57718.0390625,5085.080078125,3290.699951171875,20708.83984375,7749.0,22308.900390625
2024-05-13,2727.2099609375,38179.4609375,128155.0,39431.51171875,8415.0,2062.1201171875,18295.5,5221.419921875,72776.1328125,8209.2802734375,18742.220703125,19115.060546875,57731.12109375,5078.9599609375,3303.659912109375,20857.7109375,7750.0,22259.19921875
2024-05-14,2730.340087890625,38356.05859375,128515.0,39558.109375,8428.099609375,2085.68994140625,18415.0,5246.68017578125,73104.609375,8225.7998046875,18716.419921875,19073.7109375,57231.73828125,5080.2900390625,3313.35009765625,20985.849609375,7726.7998046875,22243.30078125
2024-05-15,2730.340087890625,38385.73046875,128028.0,39908.0,8445.7998046875,2109.4599609375,18691.75,5308.14990234375,72987.03125,8239.990234375,18869.359375,19073.7109375,57454.6484375,5100.89990234375,3289.419921875,21147.2109375,7753.7001953125,22284.80078125
2024-05-16,2753.0,38920.26171875,128284.0,39869.37890625,8438.7001953125,2096.25,18650.0,5297.10009765625,73663.71875,8188.490234375,18738.810546875,19376.529296875,57462.171875,5072.4501953125,3304.989990234375,21304.259765625,7881.2998046875,22299.80078125
2024-05-17,2724.6201171875,38787.37890625,128151.0,40003.58984375,8420.2998046875,2095.719970703125,18635.25,5303.27001953125,73917.03125,8167.5,18704.419921875,19553.609375,57583.078125,5064.14013671875,3313.47998046875,21258.470703125,7814.39990234375,22465.400390625
2024-05-20,2742.139892578125,39069.6796875,127751.0,39806.76953125,8424.2001953125,2102.5,18763.0,5308.1298828125,73917.03125,8195.9697265625,18768.9609375,19636.220703125,57393.28125,5064.14013671875,3314.050048828125,21271.630859375,7863.7001953125,22465.400390625
2024-05-21,2724.179931640625,38946.9296875,127412.0,39872.98828125,8416.5,2098.360107421875,18799.25,5321.41015625,73953.3125,8141.4599609375,18726.759765625,19220.619140625,56760.71875,5046.990234375,3307.89990234375,21236.75,7851.7001953125,22468.19921875
